importance_feature
rankCount1
rankCount2
rankCount3
suitCount3
suitCount2
suitCount1
suitCount4
diff8_3
rankCount4
diff9_3
diff9_4
diff9_2
diff10_5
diff9_8
diff10_9
diff8_4
diff11_3
diff8_2
diff3_1
diff3_2
diff7_1
diff13_8
diff12_7
diff11_6
diff7_2
diff6_1
diff13_9
diff12_8
diff8_6
rank8
diff11_1
rank11
diff13_12
diff9_6
rank5
diff4_2
diff11_5
diff11_2
rank12
diff5_4
diff4_3
diff12_11
diff12_1
